Field,Layer,Operator Class,Operator Name,Symbol,Definition
Void,Ground,Null Collapse,VoidZero,V0,"Reduces any triadic expression to its unresolved ground state, erasing active tension."
Void,Ground,Null Collapse,AbsenceMap,V1,"Maps the absence of a pole as an explicit structural value rather than an empty slot."
Void,Ground,Null Collapse,NullMerge,V2,"Collapses two co-null poles into a single undifferentiated ground node."
Void,Ground,Null Collapse,VoidSeal,V3,"Prevents re-emergence of a collapsed pole by locking its ground state as terminal."
Void,Substrate,Potential Field,LatentSet,V4,"Declares a potential operator space without instantiating any active triad."
Void,Substrate,Potential Field,PrimordialTrace,V5,"Preserves the signature of a prior collapsed triad as a traceable but inert residue."
Void,Substrate,Potential Field,SubstrateAnchor,V6,"Pins a void-layer node as a fixed reference point for all higher-field derivations."
Void,Substrate,Potential Field,DormantAxis,V7,"Marks a pole axis as structurally present but operationally suspended."
Void,Interface,Edge Operators,VoidBridge,V8,"Connects a void-layer ground state to the lowest active layer of an adjacent field."
Void,Interface,Edge Operators,ThresholdGate,V9,"Controls passage of emergent tension from substrate into Shadow-layer activation."
Shadow,Ground,Inversion Set,PolarNegate,S0,"Inverts the valence of a named pole, flipping its relational pull within the triad."
Shadow,Ground,Inversion Set,ShadowDouble,S1,"Creates a mirrored anti-pole that tracks and counteracts a primary pole in real time."
Shadow,Ground,Inversion Set,LatentholdFlip,S2,"Defers pole inversion until a specified resolution threshold is reached."
Shadow,Ground,Inversion Set,EclipseOperator,S3,"Temporarily suppresses one pole to allow the remaining two to form a binary axis."
Shadow,Contrast,Differential Operators,ContrastDelta,S4,"Measures and outputs the magnitude of difference between two opposing poles."
Shadow,Contrast,Differential Operators,ShadowGradient,S5,"Produces a continuous gradient between a pole and its negation across a defined range."
Shadow,Contrast,Differential Operators,PenumbraShift,S6,"Applies a partial inversion that moves a pole toward its shadow without full negation."
Shadow,Contrast,Differential Operators,TensionAmplifier,S7,"Scales the relational tension between poles by a variable coefficient."
Shadow,Resolution,Synthesis Operators,ShadowFold,S8,"Collapses a shadow-pair into a single synthesized pole carrying both valences."
Shadow,Resolution,Synthesis Operators,AntiSynth,S9,"Produces a stable anti-synthesis that preserves contradiction without resolving it."
Shadow,Resolution,Synthesis Operators,DarkMediation,S10,"Mediates between a pole and its shadow through a third term drawn from the Void layer."
Clarity,Primary,Activation Set,PoleActivate,C0,"Instantiates a named pole and registers it as live within the current triadic frame."
Clarity,Primary,Activation Set,ClarityBind,C1,"Binds two active poles into a defined relational pair with explicit tension vector."
Clarity,Primary,Activation Set,LumenMark,C2,"Tags a pole as the primary luminous anchor of the current resolution sequence."
Clarity,Primary,Activation Set,AxisDeclaration,C3,"Declares a two-pole axis and assigns it a named orientation within the field."
Clarity,Structural,Resolution Operators,TriadicLock,C4,"Freezes the current three-pole configuration as a valid resolved state."
Clarity,Structural,Resolution Operators,ClarityFold,C5,"Collapses the active triad into its synthesis pole while preserving tension metadata."
Clarity,Structural,Resolution Operators,PoleHierarchy,C6,"Assigns precedence ordering to poles, determining resolution sequence priority."
Clarity,Structural,Resolution Operators,LuminousGate,C7,"Permits only poles meeting a minimum clarity threshold to participate in synthesis."
Clarity,Propagation,Emission Operators,ClarityRadiate,C8,"Emits the resolved state of a pole outward as input to adjacent triadic frames."
Clarity,Propagation,Emission Operators,EchoForward,C9,"Propagates a resolution signal through a directed chain of dependent operators."
Clarity,Propagation,Emission Operators,SpectrumSplit,C10,"Decomposes a synthesized pole into its constituent clarity components for downstream use."
Dimensional,Layer-0,Frame Operators,DimAnchor,D0,"Establishes a fixed dimensional origin point from which all frame coordinates are measured."
Dimensional,Layer-0,Frame Operators,FrameDeclare,D1,"Instantiates a named dimensional frame and assigns it a coordinate basis."
Dimensional,Layer-0,Frame Operators,AxisSpan,D2,"Defines the extent of a dimensional axis between two bounding pole values."
Dimensional,Layer-0,Frame Operators,FrameSeal,D3,"Closes a dimensional frame, preventing further axis additions or pole insertions."
Dimensional,Layer-1,Traversal Operators,CrossAxis,D4,"Moves an operator state from one dimensional axis to a non-parallel axis within the same frame."
Dimensional,Layer-1,Traversal Operators,DimStep,D5,"Advances a pointer by one unit along a specified dimensional axis."
Dimensional,Layer-1,Traversal Operators,HyperjumpOp,D6,"Teleports an operator context across non-adjacent frame layers without traversing intermediate steps."
Dimensional,Layer-1,Traversal Operators,DepthDive,D7,"Recursively enters a nested sub-frame, inheriting parent-frame bindings."
Dimensional,Layer-2,Intersection Operators,FrameOverlap,D8,"Computes the shared pole space at the intersection of two or more dimensional frames."
Dimensional,Layer-2,Intersection Operators,CrossProduct3,D9,"Generates a new triadic pole from the cross-dimensional product of two input axes."
